transcription_factor	level_id	request_type	request_value	unaliased_requested_logical_example_count	alias_absolute_anchor	canonical_requested_logical_example_count	actual_logical_example_count	actual_rc_group_count	inclusive_maximum_rank
AbdA	lvl_e98c873a2281cf9aa63dc47df31cd3a566bc228b6b22061a121f0a1a121d8e19	absolute	128	128		128	128	128	128
AbdA	lvl_3006c1622d118f9aab802fa77b19201cc6806f8e2b2fa80a26d6c00b4d6b664e	fractional	0.01	201		201	201	201	201
AbdA	lvl_b1a01be9dc0e4f01d421b75f591f68da4dbdf721456d3d23e519df5c7459fa9e	absolute	256	256		256	256	256	256
AbdA	lvl_f9507e4870d9ed0e8217cb6421b2be7f5e8e552da3c29c5d8268d87d0b1f611c	fractional	0.02	401		401	401	401	401
AbdA	lvl_1eb26f33d3c71acc61e0bdb49524cbd0a16144c978a1b9df590b7b3a15e45167	absolute	512	512		512	512	512	512
AbdA	lvl_8a7ffadcdb4089e4417944fad4d9f04faabcb302563bb2a575f25bb08b290a93	fractional	0.05	1003		1003	1003	1003	1003
AbdA	lvl_a12852dba21ae5d3d0dff52b22885cc5ac503cd73e1e343718d1f9b6e66f8588	fractional	0.1	2005		2005	2005	2005	2005
AbdA	lvl_9757cf17dcbd68062fda346e3ddbd19ede95317fc2c2406a7537080645be3e20	fractional	0.25	5013		5013	5013	5013	5013
AbdA	lvl_49ce34401ee69367d32de3210a2579bd1c5a1d9f1ffabafeb8c7c767c5f2226c	fractional	0.5	10025		10025	10025	10025	10025
AbdA	lvl_74cb9a7193d23b0641cbafaf0b3debaa3ce8442be3b6370b2ef58b6e536d7c06	fractional	1.0	20050		20050	20050	20050	20050
AbdB	lvl_e15bc8eb5180d2a6abed36b63fdb2537e1d2a41202a3b8a91889588d2d1f9ace	absolute	128	128		128	128	128	128
AbdB	lvl_d3eec25de2d8d86f242db9dcef01e7554049b6a3f914d34fe2dc9f66dbff77d8	absolute	256	256		256	256	256	256
AbdB	lvl_9be03108b47032ee06bd1715255f8aff91d25caf1ddb9fa2120d7a5d88a8497a	fractional	0.01	332		332	332	332	332
AbdB	lvl_5913a992216beece918a698035a86abe0715d992cfefd007009a695636c597ef	absolute	512	512		512	512	512	512
AbdB	lvl_48ab01d91fdc77830a680bce182331804157a302e84bc9e6a4d40505cca749a7	fractional	0.02	663		663	663	663	663
AbdB	lvl_f4746c8a655d281c5eb4f8428dd92e4ef117c48d43489904289a712dca2385e3	fractional	0.05	1659		1659	1659	1659	1659
AbdB	lvl_b72e034c8700a8c3c8d8c011e7db70867fdcf26de0bdab990b1f41dca6c857b0	fractional	0.1	3317		3317	3317	3317	3317
AbdB	lvl_1d06b46361a681137c5b3c6fd9c2ac6d8068af0b53c86f74a25512dff5a98f21	fractional	0.25	8293		8293	8293	8293	8293
AbdB	lvl_4d5d210f2e080afec5bdc4fdb52ba4de19d6fb162e403975bd739e9e7753552e	fractional	0.5	16585		16585	16585	16585	16585
AbdB	lvl_2958c326b733ea96613d4df12462905ed674dcc98f5125e20eacf63417ee538c	fractional	1.0	33170		33170	33170	33170	33170
Antp	lvl_3690886d0378374da97d462d778b1721593f48d2849ff0d4bce20382eb94f212	absolute	128	128		128	128	128	128
Antp	lvl_1a0900f39cacb09f8a5c18fee3fc6c8ccf7f3e00fd602f01bc39c301d13402d6	absolute	256	256		256	256	256	256
Antp	lvl_ffeee399337dd1c23dbe88fdc87a5e486acc6831520518e5b71c2f22cd82c072	fractional	0.01	246	256	256	256	256	256
Antp	lvl_7fd159a683ab9aca6d6b3e1493f1e4b3a33a7b51a9ca2076cc80599e20154286	absolute	512	512		512	512	512	512
Antp	lvl_39ec76a824d8af46ad622b9cd74ba1f1725f14b036377bf61e9d04b562836bd6	fractional	0.02	492	512	512	512	512	512
Antp	lvl_45cc5fda0316a28c40328fc04b08f7e2fe24b6bf0b3ab8b4642ff1985bffa89c	fractional	0.05	1231		1231	1231	1231	1231
Antp	lvl_156b6327e036014fff1d72eaefa40829c76ce25a98ce8267b2dbebc453f04a96	fractional	0.1	2461		2461	2461	2461	2461
Antp	lvl_1094b07dec18196b75837d96401f4551fc8c0a6f81ad00e16412f24509f51994	fractional	0.25	6153		6153	6153	6153	6153
Antp	lvl_e602498b70ca4bed6086a9848acb044fd24b8912f98faf61b2c8bd0b088bfde2	fractional	0.5	12305		12305	12305	12305	12305
Antp	lvl_a78efa7c383436d219c05d7b7ee66f0463a71384bf10fe2eb00c518839654841	fractional	1.0	24610		24610	24610	24610	24610
Dfd	lvl_d5e29aa44399ddf08deac2a268457cac6ee62b0c13ddb9ac03072636ec73feef	absolute	128	128		128	128	128	128
Dfd	lvl_27830f9804e429f5632892a721bdf4aa94ce74ee59199f13181f926d393f28db	fractional	0.01	213		213	213	213	213
Dfd	lvl_1b0839f930f27bc893b8f37f10d0c60b4cdd5a7f49c90bb653242b9cee8a47c5	absolute	256	256		256	256	256	256
Dfd	lvl_523b9d25cc1a02e3ce36e92db5f48abc184d55cf89513be533ac849638a59fd5	fractional	0.02	426		426	426	426	426
Dfd	lvl_2b6c87786a5a940eaed80fd9e8073e1d7660cbe3c37b1b7ff5e9810c5c6c1475	absolute	512	512		512	512	512	512
Dfd	lvl_60e5212bbd5b5567e83e0cee8e38fd96f10e1979bb038d958a1e0d5eeb17ca9b	fractional	0.05	1066		1066	1066	1066	1066
Dfd	lvl_bcbdc7af808929b62b573567bd36f7548b5a73dfe253e8eec9f58c2833ad8574	fractional	0.1	2131		2131	2131	2131	2131
Dfd	lvl_8c50e2a485bd229489182b4911c24a308759dca72b8e9a1d8548384c365162d6	fractional	0.25	5328		5328	5328	5328	5328
Dfd	lvl_e271b0d5022ac0f0d2450b9416666ca5db36c423cba610867a7e50f990050363	fractional	0.5	10656		10656	10656	10656	10656
Dfd	lvl_2dc066dee77edfb4f465974db97997aa6149f94dd77031115288b5f22e1d3192	fractional	1.0	21311		21311	21311	21311	21311
Lab	lvl_d18d10eb4a60cc081d3a18352f10fea197614ec3be3912459de5a7c2c0b5cffc	absolute	128	128		128	128	128	128
Lab	lvl_28b950ccb2b764eb3fbd551f6f899f894703804baa18f84cc2eb6fcf0ee3f94c	absolute	256	256		256	256	256	256
Lab	lvl_74d1c43d79bf07510fb2082627f0f81f0628da53e48e281322bdead857afd1a9	fractional	0.01	260	256	256	256	256	256
Lab	lvl_4f7884881ef0609ea295dde3456161178d8ebe65c82a139fbddb919f236be3b5	absolute	512	512		512	512	512	512
Lab	lvl_e0f787d97242a44b7065328ab278e46da1bbb798c6ed3d8af3c5802205df8ca7	fractional	0.02	521	512	512	512	512	512
Lab	lvl_28d9a9c38913996ae9fbebf4357cbd986f9f796ef8e7136ec7926778954a6ff5	fractional	0.05	1302		1302	1302	1302	1302
Lab	lvl_b2bfbc7ca7681d3e00bb2f2f935266b927d34547e369a41c6cbc6420ea9e9ccf	fractional	0.1	2605		2605	2605	2605	2605
Lab	lvl_aca769b4c617a77cb74efa47905c2dd1bccf1a4a9db577a913ea84a51a8ace64	fractional	0.25	6512		6512	6512	6512	6512
Lab	lvl_83531dec6a2b3e8cc791b3b371fa908f44608136fe8d82391b47e2b744e83b21	fractional	0.5	13025		13025	13025	13025	13025
Lab	lvl_8b8d49bee045a165b8da6a1bf8a222f91afec500df11678ec75a7fffdbf062c5	fractional	1.0	26049		26049	26049	26049	26049
Pb	lvl_175a22bb26a6762a28366c4ac9ea70dcbe3d6b9afb23cb46500d468a467075b2	absolute	128	128		128	128	128	128
Pb	lvl_f999e5f56afe383e9a15fe6ca0ea877f2dc958d5dc10e50cddeaeb07a67d59a7	absolute	256	256		256	256	256	256
Pb	lvl_46c099994c95147e3d8ccd906d588665ab71c8831dbcedb53cdb9cba8577c743	absolute	512	512		512	512	512	512
Pb	lvl_c6c80ba2c939aa51889255dab757299b3db1c69a43816a4861fa5d510dfbacae	fractional	0.01	1824		1824	1824	1824	1824
Pb	lvl_f41d3a3c8ed3d189fc496aaa70a9a35855397976c10dda80a4e62322d153e845	fractional	0.02	3649		3649	3649	3649	3649
Pb	lvl_81e71dc1cbb1969a582203b2764c4ea085f3fcf62a6b6f2f2ac9c6254f7c7ed2	fractional	0.05	9121		9121	9121	9121	9121
Pb	lvl_5e7ba521010415d908aa5d90083e6425d7d3ff8bf1245f56710439534117f929	fractional	0.1	18243		18243	18243	18243	18243
Pb	lvl_09c4ab81b84cc10f9a262fa725baec0ac115b36e7cdd5a6f2c255259a5bc6d96	fractional	0.25	45607		45607	45607	45607	45607
Pb	lvl_a71ac130f68b3a497861e9b65b2291d3203b685169786038c1299d165a997144	fractional	0.5	91214		91214	91214	91214	91214
Pb	lvl_bc046f05328c38c5047dd6bb92508c4bfa7684bf927b85113612921253fefd07	fractional	1.0	182428		182428	182428	182428	182428
Scr	lvl_2c6edad62182180795ecd559c85ff4776778507e1cdc54483993d41aca18c5bf	absolute	128	128		128	128	128	128
Scr	lvl_1f7900d645ac768c6a4e85ce1ec8480411f4df7b0adf19f06fc59793ecf50cfb	absolute	256	256		256	256	256	256
Scr	lvl_a24097b3a078adb105bdca9e73a2009c8d33859b8e9563a91c2a7f6b784dd57b	fractional	0.01	276		276	276	276	276
Scr	lvl_c264c51cd4900a6261dde0ebb398eb2a6bc2754cda1f9d3904a2a82ffee1de85	absolute	512	512		512	512	512	512
Scr	lvl_25232626a2c36e104172678d615803e3680ba3402be71e9f2f9a1e5ffc82c9f9	fractional	0.02	552		552	552	552	552
Scr	lvl_bc01e3d1b33ec5880b0a062b2ac2d4902b14a7a4262884edf0cb51e41d0ac5f6	fractional	0.05	1379		1379	1379	1379	1379
Scr	lvl_f9a1159959af72b54084ed34993ddfba2cff2d1313d588a20b756d2f79e9296a	fractional	0.1	2759		2759	2759	2759	2759
Scr	lvl_5e6400b22df6a51ea87acf4cf22aa9d849c6caecbc2d124a152c5d27b081988f	fractional	0.25	6897		6897	6897	6897	6897
Scr	lvl_112ed7314958ac9dad6d124964230ecd1ba6e0f30ff8785723cc444a53151643	fractional	0.5	13794		13794	13794	13794	13794
Scr	lvl_06ee9f33623d030ba3bd3731249b24779b42633f70558d3d2fe9f179db2bc415	fractional	1.0	27588		27588	27588	27588	27588
Ubx	lvl_587a1e7d8e77bb49e2d5b34ebd99cc913246beb7d7c6a6703b482f3a3ff8360b	absolute	128	128		128	128	128	128
Ubx	lvl_670b1c1638f6d6509a8f98bb05639ec92e11aa2f00798404166c5c931e5b8786	absolute	256	256		256	256	256	256
Ubx	lvl_8320bd468df83abd164e9577b5101d9b59eb65298e508641d8060b5165f261a9	fractional	0.01	340		340	340	340	340
Ubx	lvl_105c2d13d315b60c04a69ea9cfef7a4c04f0303e69f3ba59301d40a7e6887e8f	absolute	512	512		512	512	512	512
Ubx	lvl_3b74d2a6c27da47c270848c0d3cebcbf7883b38f911570a80081adb13cbb3f05	fractional	0.02	679		679	679	679	679
Ubx	lvl_ec1b78b1036bd4ed40b634357c92df468b4f7c97a5335c95cf2bc35f5be2ae11	fractional	0.05	1699		1699	1699	1699	1699
Ubx	lvl_4251a134be17d76b2616c51a02cf36d6c24fc4dadf5d40caac507a495fa79988	fractional	0.1	3397		3397	3397	3397	3397
Ubx	lvl_2fc75cc0a5bce57769754ff950fbe36cb4a00087b8f0dc501e71cfb283fe8615	fractional	0.25	8493		8493	8493	8493	8493
Ubx	lvl_287fc6811edadea0d961029d262a4fd06371401ef034a2a82e4c133f5eccde3f	fractional	0.5	16986		16986	16986	16986	16986
Ubx	lvl_6df29cfb838196587d4edeae697243667f6693b9f2797f3d074bdb45caaea662	fractional	1.0	33971		33971	33971	33971	33971
