transcription_factor	split	bin_index	bin_left	bin_right	logical_example_count
AbdA	training	0	0	0.02	0
AbdA	training	1	0.02	0.04	0
AbdA	training	2	0.04	0.06	0
AbdA	training	3	0.06	0.08	0
AbdA	training	4	0.08	0.1	4
AbdA	training	5	0.1	0.12	190
AbdA	training	6	0.12	0.14	1252
AbdA	training	7	0.14	0.16	2842
AbdA	training	8	0.16	0.18	3265
AbdA	training	9	0.18	0.2	2748
AbdA	training	10	0.2	0.22	2200
AbdA	training	11	0.22	0.24	1580
AbdA	training	12	0.24	0.26	1285
AbdA	training	13	0.26	0.28	974
AbdA	training	14	0.28	0.3	677
AbdA	training	15	0.3	0.32	563
AbdA	training	16	0.32	0.34	453
AbdA	training	17	0.34	0.36	376
AbdA	training	18	0.36	0.38	288
AbdA	training	19	0.38	0.4	228
AbdA	training	20	0.4	0.42	176
AbdA	training	21	0.42	0.44	147
AbdA	training	22	0.44	0.46	147
AbdA	training	23	0.46	0.48	118
AbdA	training	24	0.48	0.5	101
AbdA	training	25	0.5	0.52	80
AbdA	training	26	0.52	0.54	52
AbdA	training	27	0.54	0.56	55
AbdA	training	28	0.56	0.58	50
AbdA	training	29	0.58	0.6	33
AbdA	training	30	0.6	0.62	29
AbdA	training	31	0.62	0.64	16
AbdA	training	32	0.64	0.66	27
AbdA	training	33	0.66	0.68	19
AbdA	training	34	0.68	0.7	25
AbdA	training	35	0.7	0.72	8
AbdA	training	36	0.72	0.74	15
AbdA	training	37	0.74	0.76	7
AbdA	training	38	0.76	0.78	4
AbdA	training	39	0.78	0.8	6
AbdA	training	40	0.8	0.82	3
AbdA	training	41	0.82	0.84	3
AbdA	training	42	0.84	0.86	0
AbdA	training	43	0.86	0.88	1
AbdA	training	44	0.88	0.9	1
AbdA	training	45	0.9	0.92	1
AbdA	training	46	0.92	0.94	0
AbdA	training	47	0.94	0.96	0
AbdA	training	48	0.96	0.98	0
AbdA	training	49	0.98	1	1
AbdA	validation	0	0	0.02	0
AbdA	validation	1	0.02	0.04	0
AbdA	validation	2	0.04	0.06	0
AbdA	validation	3	0.06	0.08	0
AbdA	validation	4	0.08	0.1	0
AbdA	validation	5	0.1	0.12	14
AbdA	validation	6	0.12	0.14	154
AbdA	validation	7	0.14	0.16	315
AbdA	validation	8	0.16	0.18	373
AbdA	validation	9	0.18	0.2	354
AbdA	validation	10	0.2	0.22	280
AbdA	validation	11	0.22	0.24	211
AbdA	validation	12	0.24	0.26	165
AbdA	validation	13	0.26	0.28	145
AbdA	validation	14	0.28	0.3	107
AbdA	validation	15	0.3	0.32	86
AbdA	validation	16	0.32	0.34	56
AbdA	validation	17	0.34	0.36	52
AbdA	validation	18	0.36	0.38	36
AbdA	validation	19	0.38	0.4	29
AbdA	validation	20	0.4	0.42	27
AbdA	validation	21	0.42	0.44	17
AbdA	validation	22	0.44	0.46	9
AbdA	validation	23	0.46	0.48	19
AbdA	validation	24	0.48	0.5	9
AbdA	validation	25	0.5	0.52	4
AbdA	validation	26	0.52	0.54	11
AbdA	validation	27	0.54	0.56	5
AbdA	validation	28	0.56	0.58	5
