protocol	transcription_factor	split	row_count	logical_example_count	global_rc_group_count	exact_cross_split_overlap_occurrence_count
primary	AbdA	training	20050	20050	20050	0
primary	AbdA	validation	2510	2510	2510	0
primary	AbdA	test	2503	2503	2503	0
paper_split_reproduction	AbdA	train	20052	20052	20052	2
paper_split_reproduction	AbdA	test	5013	5013	5013	2
primary	AbdB	training	33170	33170	33170	0
primary	AbdB	validation	4149	4149	4149	0
primary	AbdB	test	4144	4144	4144	0
paper_split_reproduction	AbdB	train	33171	33171	33171	0
paper_split_reproduction	AbdB	test	8292	8292	8292	0
primary	Antp	training	24610	24610	24610	0
primary	Antp	validation	3080	3080	3080	0
primary	Antp	test	3077	3077	3077	0
paper_split_reproduction	Antp	train	24613	24613	24613	0
paper_split_reproduction	Antp	test	6154	6154	6154	0
primary	Dfd	training	21311	21311	21311	0
primary	Dfd	validation	2670	2670	2670	0
primary	Dfd	test	2661	2661	2661	0
paper_split_reproduction	Dfd	train	21314	21314	21314	0
paper_split_reproduction	Dfd	test	5328	5328	5328	0
primary	Lab	training	26049	26049	26049	0
primary	Lab	validation	3260	3260	3260	0
primary	Lab	test	3250	3250	3250	0
paper_split_reproduction	Lab	train	26048	26048	26048	0
paper_split_reproduction	Lab	test	6511	6511	6511	0
primary	Pb	training	182428	182428	182428	0
primary	Pb	validation	22794	22794	22794	0
primary	Pb	test	22806	22806	22806	0
paper_split_reproduction	Pb	train	182490	182490	182490	85
paper_split_reproduction	Pb	test	45623	45623	45623	85
primary	Scr	training	27588	27588	27588	0
primary	Scr	validation	3450	3450	3450	0
primary	Scr	test	3450	3450	3450	0
paper_split_reproduction	Scr	train	27591	27591	27591	0
paper_split_reproduction	Scr	test	6897	6897	6897	0
primary	Ubx	training	33971	33971	33971	0
primary	Ubx	validation	4250	4250	4250	0
primary	Ubx	test	4250	4250	4250	0
paper_split_reproduction	Ubx	train	33980	33980	33980	4
paper_split_reproduction	Ubx	test	8495	8495	8495	4
