transcription_factor	supplied_split	bin_index	bin_left	bin_right	row_count
AbdA	train	0	0	0.02	0
AbdA	train	1	0.02	0.04	0
AbdA	train	2	0.04	0.06	0
AbdA	train	3	0.06	0.08	0
AbdA	train	4	0.08	0.1	5
AbdA	train	5	0.1	0.12	184
AbdA	train	6	0.12	0.14	1249
AbdA	train	7	0.14	0.16	2804
AbdA	train	8	0.16	0.18	3234
AbdA	train	9	0.18	0.2	2791
AbdA	train	10	0.2	0.22	2236
AbdA	train	11	0.22	0.24	1609
AbdA	train	12	0.24	0.26	1288
AbdA	train	13	0.26	0.28	956
AbdA	train	14	0.28	0.3	685
AbdA	train	15	0.3	0.32	582
AbdA	train	16	0.32	0.34	440
AbdA	train	17	0.34	0.36	372
AbdA	train	18	0.36	0.38	282
AbdA	train	19	0.38	0.4	221
AbdA	train	20	0.4	0.42	182
AbdA	train	21	0.42	0.44	136
AbdA	train	22	0.44	0.46	135
AbdA	train	23	0.46	0.48	119
AbdA	train	24	0.48	0.5	95
AbdA	train	25	0.5	0.52	70
AbdA	train	26	0.52	0.54	67
AbdA	train	27	0.54	0.56	54
AbdA	train	28	0.56	0.58	51
AbdA	train	29	0.58	0.6	37
AbdA	train	30	0.6	0.62	32
AbdA	train	31	0.62	0.64	15
AbdA	train	32	0.64	0.66	20
AbdA	train	33	0.66	0.68	17
AbdA	train	34	0.68	0.7	26
AbdA	train	35	0.7	0.72	10
AbdA	train	36	0.72	0.74	14
AbdA	train	37	0.74	0.76	8
AbdA	train	38	0.76	0.78	6
AbdA	train	39	0.78	0.8	4
AbdA	train	40	0.8	0.82	3
AbdA	train	41	0.82	0.84	3
AbdA	train	42	0.84	0.86	1
AbdA	train	43	0.86	0.88	2
AbdA	train	44	0.88	0.9	1
AbdA	train	45	0.9	0.92	2
AbdA	train	46	0.92	0.94	2
AbdA	train	47	0.94	0.96	0
AbdA	train	48	0.96	0.98	1
AbdA	train	49	0.98	1	1
AbdA	test	0	0	0.02	0
AbdA	test	1	0.02	0.04	0
AbdA	test	2	0.04	0.06	0
AbdA	test	3	0.06	0.08	0
AbdA	test	4	0.08	0.1	0
AbdA	test	5	0.1	0.12	36
AbdA	test	6	0.12	0.14	322
AbdA	test	7	0.14	0.16	692
AbdA	test	8	0.16	0.18	820
AbdA	test	9	0.18	0.2	657
AbdA	test	10	0.2	0.22	528
AbdA	test	11	0.22	0.24	395
AbdA	test	12	0.24	0.26	340
AbdA	test	13	0.26	0.28	265
AbdA	test	14	0.28	0.3	180
AbdA	test	15	0.3	0.32	131
AbdA	test	16	0.32	0.34	122
AbdA	test	17	0.34	0.36	103
AbdA	test	18	0.36	0.38	72
AbdA	test	19	0.38	0.4	70
AbdA	test	20	0.4	0.42	43
AbdA	test	21	0.42	0.44	45
AbdA	test	22	0.44	0.46	35
AbdA	test	23	0.46	0.48	34
AbdA	test	24	0.48	0.5	22
AbdA	test	25	0.5	0.52	20
AbdA	test	26	0.52	0.54	12
AbdA	test	27	0.54	0.56	13
AbdA	test	28	0.56	0.58	9
AbdA	test	29	0.58	0.6	7
AbdA	test	30	0.6	0.62	3
AbdA	test	31	0.62	0.64	5
AbdA	test	32	0.64	0.66	11
AbdA	test	33	0.66	0.68	4
AbdA	test	34	0.68	0.7	4
AbdA	test	35	0.7	0.72	0
AbdA	test	36	0.72	0.74	3
AbdA	test	37	0.74	0.76	1
AbdA	test	38	0.76	0.78	2
AbdA	test	39	0.78	0.8	3
AbdA	test	40	0.8	0.82	1
AbdA	test	41	0.82	0.84	1
AbdA	test	42	0.84	0.86	0
AbdA	test	43	0.86	0.88	1
AbdA	test	44	0.88	0.9	0
AbdA	test	45	0.9	0.92	0
AbdA	test	46	0.92	0.94	0
AbdA	test	47	0.94	0.96	0
AbdA	test	48	0.96	0.98	1
AbdA	test	49	0.98	1	0
AbdB	train	0	0	0.02	0
AbdB	train	1	0.02	0.04	0
AbdB	train	2	0.04	0.06	0
AbdB	train	3	0.06	0.08	7
AbdB	train	4	0.08	0.1	196
AbdB	train	5	0.1	0.12	1160
AbdB	train	6	0.12	0.14	3120
AbdB	train	7	0.14	0.16	4544
AbdB	train	8	0.16	0.18	5221
AbdB	train	9	0.18	0.2	4829
AbdB	train	10	0.2	0.22	3715
AbdB	train	11	0.22	0.24	2583
AbdB	train	12	0.24	0.26	1771
AbdB	train	13	0.26	0.28	1273
AbdB	train	14	0.28	0.3	962
AbdB	train	15	0.3	0.32	726
AbdB	train	16	0.32	0.34	558
AbdB	train	17	0.34	0.36	455
AbdB	train	18	0.36	0.38	363
AbdB	train	19	0.38	0.4	297
AbdB	train	20	0.4	0.42	251
AbdB	train	21	0.42	0.44	210
AbdB	train	22	0.44	0.46	174
AbdB	train	23	0.46	0.48	124
AbdB	train	24	0.48	0.5	102
AbdB	train	25	0.5	0.52	84
AbdB	train	26	0.52	0.54	89
AbdB	train	27	0.54	0.56	66
AbdB	train	28	0.56	0.58	44
AbdB	train	29	0.58	0.6	51
AbdB	train	30	0.6	0.62	41
AbdB	train	31	0.62	0.64	33
AbdB	train	32	0.64	0.66	17
AbdB	train	33	0.66	0.68	15
AbdB	train	34	0.68	0.7	15
AbdB	train	35	0.7	0.72	15
AbdB	train	36	0.72	0.74	8
AbdB	train	37	0.74	0.76	12
AbdB	train	38	0.76	0.78	3
AbdB	train	39	0.78	0.8	10
AbdB	train	40	0.8	0.82	7
AbdB	train	41	0.82	0.84	1
AbdB	train	42	0.84	0.86	6
AbdB	train	43	0.86	0.88	5
AbdB	train	44	0.88	0.9	1
AbdB	train	45	0.9	0.92	3
AbdB	train	46	0.92	0.94	0
AbdB	train	47	0.94	0.96	1
AbdB	train	48	0.96	0.98	2
AbdB	train	49	0.98	1	1
AbdB	test	0	0	0.02	0
AbdB	test	1	0.02	0.04	0
AbdB	test	2	0.04	0.06	0
AbdB	test	3	0.06	0.08	0
AbdB	test	4	0.08	0.1	56
AbdB	test	5	0.1	0.12	361
AbdB	test	6	0.12	0.14	720
AbdB	test	7	0.14	0.16	1196
AbdB	test	8	0.16	0.18	1275
AbdB	test	9	0.18	0.2	1228
AbdB	test	10	0.2	0.22	913
AbdB	test	11	0.22	0.24	664
AbdB	test	12	0.24	0.26	430
AbdB	test	13	0.26	0.28	304
AbdB	test	14	0.28	0.3	237
AbdB	test	15	0.3	0.32	182
AbdB	test	16	0.32	0.34	119
AbdB	test	17	0.34	0.36	112
AbdB	test	18	0.36	0.38	88
AbdB	test	19	0.38	0.4	68
AbdB	test	20	0.4	0.42	60
AbdB	test	21	0.42	0.44	45
AbdB	test	22	0.44	0.46	32
AbdB	test	23	0.46	0.48	27
AbdB	test	24	0.48	0.5	25
AbdB	test	25	0.5	0.52	21
AbdB	test	26	0.52	0.54	24
AbdB	test	27	0.54	0.56	11
AbdB	test	28	0.56	0.58	14
AbdB	test	29	0.58	0.6	12
AbdB	test	30	0.6	0.62	8
AbdB	test	31	0.62	0.64	10
AbdB	test	32	0.64	0.66	6
AbdB	test	33	0.66	0.68	8
AbdB	test	34	0.68	0.7	11
AbdB	test	35	0.7	0.72	10
AbdB	test	36	0.72	0.74	3
AbdB	test	37	0.74	0.76	2
AbdB	test	38	0.76	0.78	0
AbdB	test	39	0.78	0.8	2
AbdB	test	40	0.8	0.82	3
AbdB	test	41	0.82	0.84	1
AbdB	test	42	0.84	0.86	0
AbdB	test	43	0.86	0.88	1
AbdB	test	44	0.88	0.9	0
AbdB	test	45	0.9	0.92	0
AbdB	test	46	0.92	0.94	0
AbdB	test	47	0.94	0.96	3
AbdB	test	48	0.96	0.98	0
AbdB	test	49	0.98	1	0
Antp	train	0	0	0.02	0
Antp	train	1	0.02	0.04	0
Antp	train	2	0.04	0.06	0
Antp	train	3	0.06	0.08	10
Antp	train	4	0.08	0.1	477
Antp	train	5	0.1	0.12	2345
Antp	train	6	0.12	0.14	3978
Antp	train	7	0.14	0.16	4508
Antp	train	8	0.16	0.18	3895
Antp	train	9	0.18	0.2	2810
Antp	train	10	0.2	0.22	1785
Antp	train	11	0.22	0.24	1254
Antp	train	12	0.24	0.26	906
Antp	train	13	0.26	0.28	603
Antp	train	14	0.28	0.3	456
Antp	train	15	0.3	0.32	342
Antp	train	16	0.32	0.34	250
Antp	train	17	0.34	0.36	205
Antp	train	18	0.36	0.38	174
Antp	train	19	0.38	0.4	116
Antp	train	20	0.4	0.42	95
Antp	train	21	0.42	0.44	76
Antp	train	22	0.44	0.46	61
Antp	train	23	0.46	0.48	45
Antp	train	24	0.48	0.5	43
Antp	train	25	0.5	0.52	30
Antp	train	26	0.52	0.54	32
Antp	train	27	0.54	0.56	16
Antp	train	28	0.56	0.58	28
Antp	train	29	0.58	0.6	6
Antp	train	30	0.6	0.62	18
Antp	train	31	0.62	0.64	4
Antp	train	32	0.64	0.66	4
Antp	train	33	0.66	0.68	4
Antp	train	34	0.68	0.7	6
Antp	train	35	0.7	0.72	2
Antp	train	36	0.72	0.74	7
Antp	train	37	0.74	0.76	7
Antp	train	38	0.76	0.78	3
Antp	train	39	0.78	0.8	3
Antp	train	40	0.8	0.82	2
Antp	train	41	0.82	0.84	2
Antp	train	42	0.84	0.86	0
Antp	train	43	0.86	0.88	1
Antp	train	44	0.88	0.9	1
Antp	train	45	0.9	0.92	0
Antp	train	46	0.92	0.94	1
Antp	train	47	0.94	0.96	1
Antp	train	48	0.96	0.98	0
Antp	train	49	0.98	1	1
Antp	test	0	0	0.02	0
Antp	test	1	0.02	0.04	0
Antp	test	2	0.04	0.06	0
Antp	test	3	0.06	0.08	3
Antp	test	4	0.08	0.1	115
Antp	test	5	0.1	0.12	592
Antp	test	6	0.12	0.14	1016
Antp	test	7	0.14	0.16	1100
Antp	test	8	0.16	0.18	1020
Antp	test	9	0.18	0.2	716
Antp	test	10	0.2	0.22	422
Antp	test	11	0.22	0.24	275
Antp	test	12	0.24	0.26	225
Antp	test	13	0.26	0.28	130
Antp	test	14	0.28	0.3	107
Antp	test	15	0.3	0.32	90
Antp	test	16	0.32	0.34	69
Antp	test	17	0.34	0.36	56
Antp	test	18	0.36	0.38	36
Antp	test	19	0.38	0.4	31
Antp	test	20	0.4	0.42	37
Antp	test	21	0.42	0.44	18
Antp	test	22	0.44	0.46	25
Antp	test	23	0.46	0.48	10
Antp	test	24	0.48	0.5	12
