transcription_factor	supplied_split	row_count	mean	population_standard_deviation	minimum	q01	q05	q25	median	q75	q95	q99	maximum
AbdA	train	20052	0.225073516	0.0932299256	0.0886128321	0.120299927	0.13564091	0.164838817	0.197962038	0.254168123	0.411864436	0.583311337	1
AbdA	test	5013	0.226512044	0.0929961782	0.102819726	0.12207545	0.135825869	0.165014163	0.199311838	0.258018583	0.412166572	0.570737472	0.964906454
AbdA	combined	25065	0.225361222	0.0931849996	0.0886128321	0.120612511	0.135687652	0.16489248	0.198299974	0.254835129	0.411996722	0.580449877	1
AbdB	train	33171	0.210810073	0.0868205047	0.0714276806	0.104250491	0.122290082	0.156994604	0.189305872	0.235513464	0.382273272	0.547896916	1
AbdB	test	8292	0.209904674	0.0886477577	0.0831646919	0.103615537	0.119881729	0.155632753	0.188206844	0.234264642	0.378818834	0.574390182	0.954588532
AbdB	combined	41463	0.210629006	0.0871897444	0.0714276806	0.10408212	0.121939132	0.156729005	0.189117849	0.235204883	0.3815402	0.552683779	1
Antp	train	24613	0.182601545	0.0735933276	0.068545565	0.0952762067	0.108819263	0.136781156	0.164482087	0.204059437	0.320915288	0.468112651	1
Antp	test	6154	0.183150623	0.0763446863	0.077776432	0.0959039253	0.109432378	0.136648729	0.164728262	0.201618284	0.32956018	0.476779117	0.948228657
Antp	combined	30767	0.182711371	0.0741521464	0.068545565	0.0953140321	0.108907161	0.136750273	0.164518774	0.203613639	0.323280674	0.470312905	1
Dfd	train	21314	0.183480328	0.084863963	0.0750665814	0.0956169128	0.107420873	0.131875128	0.157797925	0.203314185	0.348272921	0.532146389	1
Dfd	test	5328	0.181571158	0.0845056313	0.0786593035	0.0936418319	0.105979929	0.131154105	0.156688511	0.200734321	0.349613798	0.515498716	0.918823302
Dfd	combined	26642	0.183098523	0.0847958619	0.0750665814	0.0953993017	0.107075659	0.131749626	0.157574534	0.202849511	0.348487496	0.529928212	1
Lab	train	26048	0.169490801	0.0894875728	0.0588570125	0.0783033305	0.0895832963	0.112689847	0.141047254	0.19396963	0.348290047	0.524944558	1
Lab	test	6511	0.17269909	0.0946386769	0.0589284152	0.0780523539	0.0897131786	0.113291193	0.143153459	0.19738248	0.361180216	0.540636039	0.915213108
Lab	combined	32559	0.17013238	0.0905502061	0.0588570125	0.0782013051	0.089615003	0.112785075	0.141364381	0.194518678	0.350872692	0.528518436	1
Pb	train	182490	0.282224903	0.0626033524	0.128310874	0.177492872	0.199521618	0.239169538	0.272305399	0.314658314	0.39664793	0.476904518	1
Pb	test	45623	0.281869477	0.0620829216	0.135512412	0.17790388	0.199943227	0.239022426	0.271773189	0.314424202	0.39704617	0.475771462	0.987762272
Pb	combined	228113	0.282153818	0.0624997737	0.128310874	0.177578089	0.19959158	0.239137754	0.27220118	0.314613491	0.396726483	0.476881443	1
Scr	train	27591	0.350351062	0.114800658	0.144351602	0.193083256	0.219861835	0.271391973	0.321388513	0.399600089	0.584336042	0.745612472	1
Scr	test	6897	0.351463652	0.115650983	0.133571029	0.19132531	0.220335731	0.271899879	0.3227669	0.400271565	0.581800187	0.761683259	0.989770532
Scr	combined	34488	0.350573561	0.114972073	0.133571029	0.192748654	0.219938418	0.271479025	0.321629167	0.399696402	0.583896783	0.748586101	1
Ubx	train	33980	0.259064519	0.106354303	0.0999021903	0.133138627	0.151828708	0.187286686	0.22787112	0.297923565	0.482165849	0.6469908	0.998517752
Ubx	test	8495	0.254572962	0.102313117	0.108285315	0.131323226	0.150146143	0.186708555	0.223852262	0.292600676	0.467388639	0.631801692	1
Ubx	combined	42475	0.258166208	0.105573732	0.0999021903	0.13260761	0.15147084	0.1871133	0.227070794	0.296726644	0.478999418	0.643893317	1
