protocol	transcription_factor	split	logical_example_count
paper_split_reproduction	AbdA	train	20052
paper_split_reproduction	AbdA	test	5013
primary	AbdA	training	20050
primary	AbdA	validation	2510
primary	AbdA	test	2503
paper_split_reproduction	AbdB	train	33171
paper_split_reproduction	AbdB	test	8292
primary	AbdB	training	33170
primary	AbdB	validation	4149
primary	AbdB	test	4144
paper_split_reproduction	Antp	train	24613
paper_split_reproduction	Antp	test	6154
primary	Antp	training	24610
primary	Antp	validation	3080
primary	Antp	test	3077
paper_split_reproduction	Dfd	train	21314
paper_split_reproduction	Dfd	test	5328
primary	Dfd	training	21311
primary	Dfd	validation	2670
primary	Dfd	test	2661
paper_split_reproduction	Lab	train	26048
paper_split_reproduction	Lab	test	6511
primary	Lab	training	26049
primary	Lab	validation	3260
primary	Lab	test	3250
paper_split_reproduction	Pb	train	182490
paper_split_reproduction	Pb	test	45623
primary	Pb	training	182428
primary	Pb	validation	22794
primary	Pb	test	22806
paper_split_reproduction	Scr	train	27591
paper_split_reproduction	Scr	test	6897
primary	Scr	training	27588
primary	Scr	validation	3450
primary	Scr	test	3450
paper_split_reproduction	Ubx	train	33980
paper_split_reproduction	Ubx	test	8495
primary	Ubx	training	33971
primary	Ubx	validation	4250
primary	Ubx	test	4250
