record_type	transcription_factor	split	bin_index	bin_left	bin_right	logical_example_count
affinity_histogram	AbdA	training	0	0	0.02	0
affinity_histogram	AbdA	training	1	0.02	0.04	0
affinity_histogram	AbdA	training	2	0.04	0.06	0
affinity_histogram	AbdA	training	3	0.06	0.08	0
affinity_histogram	AbdA	training	4	0.08	0.1	4
affinity_histogram	AbdA	training	5	0.1	0.12	190
affinity_histogram	AbdA	training	6	0.12	0.14	1252
affinity_histogram	AbdA	training	7	0.14	0.16	2842
affinity_histogram	AbdA	training	8	0.16	0.18	3265
affinity_histogram	AbdA	training	9	0.18	0.2	2748
affinity_histogram	AbdA	training	10	0.2	0.22	2200
affinity_histogram	AbdA	training	11	0.22	0.24	1580
affinity_histogram	AbdA	training	12	0.24	0.26	1285
affinity_histogram	AbdA	training	13	0.26	0.28	974
affinity_histogram	AbdA	training	14	0.28	0.3	677
affinity_histogram	AbdA	training	15	0.3	0.32	563
affinity_histogram	AbdA	training	16	0.32	0.34	453
affinity_histogram	AbdA	training	17	0.34	0.36	376
affinity_histogram	AbdA	training	18	0.36	0.38	288
affinity_histogram	AbdA	training	19	0.38	0.4	228
affinity_histogram	AbdA	training	20	0.4	0.42	176
affinity_histogram	AbdA	training	21	0.42	0.44	147
affinity_histogram	AbdA	training	22	0.44	0.46	147
affinity_histogram	AbdA	training	23	0.46	0.48	118
affinity_histogram	AbdA	training	24	0.48	0.5	101
affinity_histogram	AbdA	training	25	0.5	0.52	80
affinity_histogram	AbdA	training	26	0.52	0.54	52
affinity_histogram	AbdA	training	27	0.54	0.56	55
affinity_histogram	AbdA	training	28	0.56	0.58	50
affinity_histogram	AbdA	training	29	0.58	0.6	33
affinity_histogram	AbdA	training	30	0.6	0.62	29
affinity_histogram	AbdA	training	31	0.62	0.64	16
affinity_histogram	AbdA	training	32	0.64	0.66	27
affinity_histogram	AbdA	training	33	0.66	0.68	19
affinity_histogram	AbdA	training	34	0.68	0.7	25
affinity_histogram	AbdA	training	35	0.7	0.72	8
affinity_histogram	AbdA	training	36	0.72	0.74	15
affinity_histogram	AbdA	training	37	0.74	0.76	7
affinity_histogram	AbdA	training	38	0.76	0.78	4
affinity_histogram	AbdA	training	39	0.78	0.8	6
affinity_histogram	AbdA	training	40	0.8	0.82	3
affinity_histogram	AbdA	training	41	0.82	0.84	3
affinity_histogram	AbdA	training	42	0.84	0.86	0
affinity_histogram	AbdA	training	43	0.86	0.88	1
affinity_histogram	AbdA	training	44	0.88	0.9	1
affinity_histogram	AbdA	training	45	0.9	0.92	1
affinity_histogram	AbdA	training	46	0.92	0.94	0
affinity_histogram	AbdA	training	47	0.94	0.96	0
affinity_histogram	AbdA	training	48	0.96	0.98	0
affinity_histogram	AbdA	training	49	0.98	1	1
affinity_histogram	AbdA	validation	0	0	0.02	0
affinity_histogram	AbdA	validation	1	0.02	0.04	0
affinity_histogram	AbdA	validation	2	0.04	0.06	0
affinity_histogram	AbdA	validation	3	0.06	0.08	0
affinity_histogram	AbdA	validation	4	0.08	0.1	0
affinity_histogram	AbdA	validation	5	0.1	0.12	14
affinity_histogram	AbdA	validation	6	0.12	0.14	154
affinity_histogram	AbdA	validation	7	0.14	0.16	315
affinity_histogram	AbdA	validation	8	0.16	0.18	373
affinity_histogram	AbdA	validation	9	0.18	0.2	354
affinity_histogram	AbdA	validation	10	0.2	0.22	280
affinity_histogram	AbdA	validation	11	0.22	0.24	211
affinity_histogram	AbdA	validation	12	0.24	0.26	165
affinity_histogram	AbdA	validation	13	0.26	0.28	145
affinity_histogram	AbdA	validation	14	0.28	0.3	107
affinity_histogram	AbdA	validation	15	0.3	0.32	86
affinity_histogram	AbdA	validation	16	0.32	0.34	56
affinity_histogram	AbdA	validation	17	0.34	0.36	52
affinity_histogram	AbdA	validation	18	0.36	0.38	36
affinity_histogram	AbdA	validation	19	0.38	0.4	29
affinity_histogram	AbdA	validation	20	0.4	0.42	27
affinity_histogram	AbdA	validation	21	0.42	0.44	17
affinity_histogram	AbdA	validation	22	0.44	0.46	9
affinity_histogram	AbdA	validation	23	0.46	0.48	19
affinity_histogram	AbdA	validation	24	0.48	0.5	9
affinity_histogram	AbdA	validation	25	0.5	0.52	4
affinity_histogram	AbdA	validation	26	0.52	0.54	11
affinity_histogram	AbdA	validation	27	0.54	0.56	5
affinity_histogram	AbdA	validation	28	0.56	0.58	5
affinity_histogram	AbdA	validation	29	0.58	0.6	4
affinity_histogram	AbdA	validation	30	0.6	0.62	4
affinity_histogram	AbdA	validation	31	0.62	0.64	2
affinity_histogram	AbdA	validation	32	0.64	0.66	3
affinity_histogram	AbdA	validation	33	0.66	0.68	0
affinity_histogram	AbdA	validation	34	0.68	0.7	3
affinity_histogram	AbdA	validation	35	0.7	0.72	0
affinity_histogram	AbdA	validation	36	0.72	0.74	0
affinity_histogram	AbdA	validation	37	0.74	0.76	1
affinity_histogram	AbdA	validation	38	0.76	0.78	2
affinity_histogram	AbdA	validation	39	0.78	0.8	1
affinity_histogram	AbdA	validation	40	0.8	0.82	1
affinity_histogram	AbdA	validation	41	0.82	0.84	1
affinity_histogram	AbdA	validation	42	0.84	0.86	0
affinity_histogram	AbdA	validation	43	0.86	0.88	0
affinity_histogram	AbdA	validation	44	0.88	0.9	0
affinity_histogram	AbdA	validation	45	0.9	0.92	1
affinity_histogram	AbdA	validation	46	0.92	0.94	2
affinity_histogram	AbdA	validation	47	0.94	0.96	0
affinity_histogram	AbdA	validation	48	0.96	0.98	2
affinity_histogram	AbdA	validation	49	0.98	1	0
affinity_histogram	AbdB	training	0	0	0.02	0
affinity_histogram	AbdB	training	1	0.02	0.04	0
affinity_histogram	AbdB	training	2	0.04	0.06	0
affinity_histogram	AbdB	training	3	0.06	0.08	4
affinity_histogram	AbdB	training	4	0.08	0.1	214
affinity_histogram	AbdB	training	5	0.1	0.12	1238
affinity_histogram	AbdB	training	6	0.12	0.14	3108
affinity_histogram	AbdB	training	7	0.14	0.16	4613
affinity_histogram	AbdB	training	8	0.16	0.18	5187
affinity_histogram	AbdB	training	9	0.18	0.2	4838
affinity_histogram	AbdB	training	10	0.2	0.22	3697
affinity_histogram	AbdB	training	11	0.22	0.24	2563
affinity_histogram	AbdB	training	12	0.24	0.26	1742
affinity_histogram	AbdB	training	13	0.26	0.28	1255
affinity_histogram	AbdB	training	14	0.28	0.3	953
affinity_histogram	AbdB	training	15	0.3	0.32	727
affinity_histogram	AbdB	training	16	0.32	0.34	540
affinity_histogram	AbdB	training	17	0.34	0.36	444
affinity_histogram	AbdB	training	18	0.36	0.38	351
affinity_histogram	AbdB	training	19	0.38	0.4	299
affinity_histogram	AbdB	training	20	0.4	0.42	238
affinity_histogram	AbdB	training	21	0.42	0.44	210
affinity_histogram	AbdB	training	22	0.44	0.46	167
affinity_histogram	AbdB	training	23	0.46	0.48	125
affinity_histogram	AbdB	training	24	0.48	0.5	104
affinity_histogram	AbdB	training	25	0.5	0.52	88
affinity_histogram	AbdB	training	26	0.52	0.54	85
affinity_histogram	AbdB	training	27	0.54	0.56	67
affinity_histogram	AbdB	training	28	0.56	0.58	45
affinity_histogram	AbdB	training	29	0.58	0.6	55
affinity_histogram	AbdB	training	30	0.6	0.62	43
affinity_histogram	AbdB	training	31	0.62	0.64	38
affinity_histogram	AbdB	training	32	0.64	0.66	16
affinity_histogram	AbdB	training	33	0.66	0.68	19
affinity_histogram	AbdB	training	34	0.68	0.7	22
affinity_histogram	AbdB	training	35	0.7	0.72	23
affinity_histogram	AbdB	training	36	0.72	0.74	7
affinity_histogram	AbdB	training	37	0.74	0.76	12
affinity_histogram	AbdB	training	38	0.76	0.78	3
affinity_histogram	AbdB	training	39	0.78	0.8	11
affinity_histogram	AbdB	training	40	0.8	0.82	7
affinity_histogram	AbdB	training	41	0.82	0.84	2
affinity_histogram	AbdB	training	42	0.84	0.86	3
affinity_histogram	AbdB	training	43	0.86	0.88	2
affinity_histogram	AbdB	training	44	0.88	0.9	0
affinity_histogram	AbdB	training	45	0.9	0.92	2
affinity_histogram	AbdB	training	46	0.92	0.94	0
affinity_histogram	AbdB	training	47	0.94	0.96	2
affinity_histogram	AbdB	training	48	0.96	0.98	1
affinity_histogram	AbdB	training	49	0.98	1	0
affinity_histogram	AbdB	validation	0	0	0.02	0
affinity_histogram	AbdB	validation	1	0.02	0.04	0
affinity_histogram	AbdB	validation	2	0.04	0.06	0
affinity_histogram	AbdB	validation	3	0.06	0.08	2
affinity_histogram	AbdB	validation	4	0.08	0.1	19
affinity_histogram	AbdB	validation	5	0.1	0.12	134
affinity_histogram	AbdB	validation	6	0.12	0.14	332
affinity_histogram	AbdB	validation	7	0.14	0.16	571
affinity_histogram	AbdB	validation	8	0.16	0.18	658
affinity_histogram	AbdB	validation	9	0.18	0.2	602
affinity_histogram	AbdB	validation	10	0.2	0.22	478
affinity_histogram	AbdB	validation	11	0.22	0.24	343
affinity_histogram	AbdB	validation	12	0.24	0.26	248
affinity_histogram	AbdB	validation	13	0.26	0.28	158
affinity_histogram	AbdB	validation	14	0.28	0.3	130
affinity_histogram	AbdB	validation	15	0.3	0.32	106
affinity_histogram	AbdB	validation	16	0.32	0.34	58
affinity_histogram	AbdB	validation	17	0.34	0.36	63
affinity_histogram	AbdB	validation	18	0.36	0.38	51
affinity_histogram	AbdB	validation	19	0.38	0.4	31
affinity_histogram	AbdB	validation	20	0.4	0.42	34
affinity_histogram	AbdB	validation	21	0.42	0.44	27
affinity_histogram	AbdB	validation	22	0.44	0.46	20
affinity_histogram	AbdB	validation	23	0.46	0.48	10
affinity_histogram	AbdB	validation	24	0.48	0.5	12
affinity_histogram	AbdB	validation	25	0.5	0.52	8
affinity_histogram	AbdB	validation	26	0.52	0.54	9
affinity_histogram	AbdB	validation	27	0.54	0.56	7
affinity_histogram	AbdB	validation	28	0.56	0.58	7
affinity_histogram	AbdB	validation	29	0.58	0.6	3
affinity_histogram	AbdB	validation	30	0.6	0.62	4
affinity_histogram	AbdB	validation	31	0.62	0.64	3
affinity_histogram	AbdB	validation	32	0.64	0.66	2
affinity_histogram	AbdB	validation	33	0.66	0.68	2
affinity_histogram	AbdB	validation	34	0.68	0.7	1
affinity_histogram	AbdB	validation	35	0.7	0.72	2
affinity_histogram	AbdB	validation	36	0.72	0.74	1
affinity_histogram	AbdB	validation	37	0.74	0.76	1
affinity_histogram	AbdB	validation	38	0.76	0.78	0
affinity_histogram	AbdB	validation	39	0.78	0.8	0
affinity_histogram	AbdB	validation	40	0.8	0.82	3
affinity_histogram	AbdB	validation	41	0.82	0.84	0
affinity_histogram	AbdB	validation	42	0.84	0.86	3
affinity_histogram	AbdB	validation	43	0.86	0.88	2
affinity_histogram	AbdB	validation	44	0.88	0.9	1
affinity_histogram	AbdB	validation	45	0.9	0.92	1
affinity_histogram	AbdB	validation	46	0.92	0.94	0
affinity_histogram	AbdB	validation	47	0.94	0.96	1
affinity_histogram	AbdB	validation	48	0.96	0.98	0
affinity_histogram	AbdB	validation	49	0.98	1	1
affinity_histogram	Antp	training	0	0	0.02	0
affinity_histogram	Antp	training	1	0.02	0.04	0
affinity_histogram	Antp	training	2	0.04	0.06	0
affinity_histogram	Antp	training	3	0.06	0.08	9
affinity_histogram	Antp	training	4	0.08	0.1	474
affinity_histogram	Antp	training	5	0.1	0.12	2352
affinity_histogram	Antp	training	6	0.12	0.14	4033
affinity_histogram	Antp	training	7	0.14	0.16	4540
affinity_histogram	Antp	training	8	0.16	0.18	3928
affinity_histogram	Antp	training	9	0.18	0.2	2795
affinity_histogram	Antp	training	10	0.2	0.22	1740
affinity_histogram	Antp	training	11	0.22	0.24	1207
affinity_histogram	Antp	training	12	0.24	0.26	903
affinity_histogram	Antp	training	13	0.26	0.28	579
affinity_histogram	Antp	training	14	0.28	0.3	435
affinity_histogram	Antp	training	15	0.3	0.32	333
affinity_histogram	Antp	training	16	0.32	0.34	257
affinity_histogram	Antp	training	17	0.34	0.36	206
affinity_histogram	Antp	training	18	0.36	0.38	167
affinity_histogram	Antp	training	19	0.38	0.4	121
affinity_histogram	Antp	training	20	0.4	0.42	108
affinity_histogram	Antp	training	21	0.42	0.44	77
affinity_histogram	Antp	training	22	0.44	0.46	70
affinity_histogram	Antp	training	23	0.46	0.48	45
affinity_histogram	Antp	training	24	0.48	0.5	48
affinity_histogram	Antp	training	25	0.5	0.52	35
affinity_histogram	Antp	training	26	0.52	0.54	32
affinity_histogram	Antp	training	27	0.54	0.56	15
affinity_histogram	Antp	training	28	0.56	0.58	24
affinity_histogram	Antp	training	29	0.58	0.6	8
affinity_histogram	Antp	training	30	0.6	0.62	23
affinity_histogram	Antp	training	31	0.62	0.64	7
affinity_histogram	Antp	training	32	0.64	0.66	6
affinity_histogram	Antp	training	33	0.66	0.68	4
affinity_histogram	Antp	training	34	0.68	0.7	6
affinity_histogram	Antp	training	35	0.7	0.72	2
affinity_histogram	Antp	training	36	0.72	0.74	5
affinity_histogram	Antp	training	37	0.74	0.76	5
affinity_histogram	Antp	training	38	0.76	0.78	3
affinity_histogram	Antp	training	39	0.78	0.8	2
affinity_histogram	Antp	training	40	0.8	0.82	0
affinity_histogram	Antp	training	41	0.82	0.84	2
