transcription_factor	split	logical_example_count	global_rc_group_count
AbdA	training	20050	20050
AbdA	validation	2510	2510
AbdA	test	2503	2503
AbdB	training	33170	33170
AbdB	validation	4149	4149
AbdB	test	4144	4144
Antp	training	24610	24610
Antp	validation	3080	3080
Antp	test	3077	3077
Dfd	training	21311	21311
Dfd	validation	2670	2670
Dfd	test	2661	2661
Lab	training	26049	26049
Lab	validation	3260	3260
Lab	test	3250	3250
Pb	training	182428	182428
Pb	validation	22794	22794
Pb	test	22806	22806
Scr	training	27588	27588
Scr	validation	3450	3450
Scr	test	3450	3450
Ubx	training	33971	33971
Ubx	validation	4250	4250
Ubx	test	4250	4250
