n,model,seed,test_r2
536,ridge,0,0.7863019704818726
536,transformer_flat,0,-4.171425819396973
536,ridge,1,0.771393358707428
536,transformer_flat,1,-3.9374842643737793
536,ridge,2,0.7644302845001221
536,transformer_flat,2,-4.262589454650879
1071,ridge,0,0.7855232954025269
1071,transformer_flat,0,-1.1239848136901855
1071,ridge,1,0.7756491899490356
1071,transformer_flat,1,-0.8299695253372192
1071,ridge,2,0.7637698650360107
1071,transformer_flat,2,-1.1909441947937012
2142,ridge,0,0.7897759675979614
2142,transformer_flat,0,0.025749385356903076
2142,ridge,1,0.780892014503479
2142,transformer_flat,1,0.2009735107421875
2142,ridge,2,0.7697473764419556
2142,transformer_flat,2,0.0514603853225708
4284,ridge,0,0.7986916303634644
4284,transformer_flat,0,0.6282509565353394
4284,ridge,1,0.7871497869491577
4284,transformer_flat,1,0.6806885004043579
4284,ridge,2,0.7749336957931519
4284,transformer_flat,2,0.5956653356552124
8568,ridge,0,0.8001762628555298
8568,transformer_flat,0,0.7817250490188599
8568,ridge,1,0.7887754440307617
8568,transformer_flat,1,0.8215906620025635
8568,ridge,2,0.7751482725143433
8568,transformer_flat,2,0.7821177840232849
